month,day,hour,sin_x,cos_x,Holiday,t
11,22,12,0.0,1.0,0.0,5.580000000000041
11,22,15,0.0,1.0,0.0,6.03000000000003
11,22,18,0.0,1.0,0.0,5.760000000000048
11,22,21,0.0,1.0,0.0,5.330000000000041
11,23,0,0.8660254037844386,0.5000000000000001,0.0,4.140000000000043
11,23,3,0.8660254037844386,0.5000000000000001,0.0,3.6000000000000227
11,23,6,0.8660254037844386,0.5000000000000001,0.0,2.9399999999999977
11,23,9,0.8660254037844386,0.5000000000000001,0.0,5.82000000000005
11,23,12,0.8660254037844386,0.5000000000000001,0.0,7.670000000000016
11,23,15,0.8660254037844386,0.5000000000000001,0.0,4.970000000000027
11,23,18,0.8660254037844386,0.5000000000000001,0.0,2.6100000000000136
11,23,21,0.8660254037844386,0.5000000000000001,0.0,1.5600000000000025
11,24,0,0.8660254037844387,-0.4999999999999998,0.0,0.8900000000000432
11,24,3,0.8660254037844387,-0.4999999999999998,0.0,0.3700000000000045
11,24,6,0.8660254037844387,-0.4999999999999998,0.0,-0.1399999999999863
11,24,9,0.8660254037844387,-0.4999999999999998,0.0,3.629999999999996
11,24,12,0.8660254037844387,-0.4999999999999998,0.0,5.840000000000032
11,24,15,0.8660254037844387,-0.4999999999999998,0.0,3.0200000000000387
11,24,18,0.8660254037844387,-0.4999999999999998,0.0,1.0600000000000025
11,24,21,0.8660254037844387,-0.4999999999999998,0.0,0.3500000000000227
11,25,0,1.2246467991473532e-16,-1.0,0.0,-0.0699999999999931
11,25,3,1.2246467991473532e-16,-1.0,0.0,-0.3700000000000045
11,25,6,1.2246467991473532e-16,-1.0,0.0,-0.3899999999999863
11,25,9,1.2246467991473532e-16,-1.0,0.0,4.03000000000003
11,25,12,1.2246467991473532e-16,-1.0,0.0,7.650000000000034
11,25,15,1.2246467991473532e-16,-1.0,0.0,4.770000000000039
11,25,18,1.2246467991473532e-16,-1.0,0.0,3.670000000000016
11,25,21,1.2246467991473532e-16,-1.0,0.0,3.670000000000016
11,26,0,-0.8660254037844384,-0.5000000000000004,0.0,3.879999999999996
11,26,3,-0.8660254037844384,-0.5000000000000004,0.0,4.730000000000018
11,26,6,-0.8660254037844384,-0.5000000000000004,0.0,4.390000000000043
11,26,9,-0.8660254037844384,-0.5000000000000004,0.0,4.550000000000011
11,26,12,-0.8660254037844384,-0.5000000000000004,0.0,4.590000000000032
11,26,15,-0.8660254037844384,-0.5000000000000004,0.0,4.7900000000000205
11,26,18,-0.8660254037844384,-0.5000000000000004,0.0,4.2000000000000455
11,26,21,-0.8660254037844384,-0.5000000000000004,0.0,4.340000000000032
11,27,0,-0.8660254037844386,0.5000000000000001,0.0,3.980000000000018
11,27,3,-0.8660254037844386,0.5000000000000001,0.0,3.330000000000041
11,27,6,-0.8660254037844386,0.5000000000000001,0.0,2.75
11,27,9,-0.8660254037844386,0.5000000000000001,0.0,2.680000000000007
