,0
48,'11240';'Graz/Flughafen';'340';'2021-01-29';'00:00';'-3.3';'°C';'2021-01-29 00:10:12'
49,'11240';'Graz/Flughafen';'340';'2021-01-29';'01:00';'-3.1';'°C';'2021-01-29 01:10:09'
50,'11240';'Graz/Flughafen';'340';'2021-01-29';'02:00';'-3.5';'°C';'2021-01-29 02:10:13'
51,'11240';'Graz/Flughafen';'340';'2021-01-29';'03:00';'-2.6';'°C';'2021-01-29 03:10:13'
52,'11240';'Graz/Flughafen';'340';'2021-01-29';'04:00';'-3.0';'°C';'2021-01-29 04:10:09'
53,'11240';'Graz/Flughafen';'340';'2021-01-29';'05:00';'-3.4';'°C';'2021-01-29 05:10:08'
54,'11240';'Graz/Flughafen';'340';'2021-01-29';'06:00';'-2.7';'°C';'2021-01-29 06:10:09'
55,'11240';'Graz/Flughafen';'340';'2021-01-29';'07:00';'-3.1';'°C';'2021-01-29 07:10:09'
56,'11240';'Graz/Flughafen';'340';'2021-01-29';'08:00';'-3.4';'°C';'2021-01-29 08:10:09'
57,'11240';'Graz/Flughafen';'340';'2021-01-29';'09:00';'-0.9';'°C';'2021-01-29 09:10:09'
58,'11240';'Graz/Flughafen';'340';'2021-01-29';'10:00';'-0.1';'°C';'2021-01-29 10:10:09'
59,'11240';'Graz/Flughafen';'340';'2021-01-29';'11:00';'0.7';'°C';'2021-01-29 11:10:18'
60,'11240';'Graz/Flughafen';'340';'2021-01-29';'12:00';'1.6';'°C';'2021-01-29 12:10:08'
61,'11240';'Graz/Flughafen';'340';'2021-01-29';'13:00';'2.4';'°C';'2021-01-29 13:10:10'
62,'11240';'Graz/Flughafen';'340';'2021-01-29';'14:00';'3.1';'°C';'2021-01-29 14:10:14'
63,'11240';'Graz/Flughafen';'340';'2021-01-29';'15:00';'3.2';'°C';'2021-01-29 15:10:18'
64,'11240';'Graz/Flughafen';'340';'2021-01-29';'16:00';'2.2';'°C';'2021-01-29 16:10:13'
65,'11240';'Graz/Flughafen';'340';'2021-01-29';'17:00';'1.5';'°C';'2021-01-29 17:10:21'
66,'11240';'Graz/Flughafen';'340';'2021-01-29';'18:00';'1.0';'°C';'2021-01-29 18:10:13'
67,'11240';'Graz/Flughafen';'340';'2021-01-29';'19:00';'0.2';'°C';'2021-01-29 19:10:12'
68,'11240';'Graz/Flughafen';'340';'2021-01-29';'20:00';'-0.2';'°C';'2021-01-29 20:10:13'
69,'11240';'Graz/Flughafen';'340';'2021-01-29';'21:00';'-0.6';'°C';'2021-01-29 21:10:10'
70,'11240';'Graz/Flughafen';'340';'2021-01-29';'22:00';'-0.2';'°C';'2021-01-29 22:10:14'
71,'11240';'Graz/Flughafen';'340';'2021-01-29';'23:00';'-0.9';'°C';'2021-01-29 23:10:10'
72,'11240';'Graz/Flughafen';'340';'2021-01-30';'00:00';'-1.7';'°C';'2021-01-30 00:10:11'
73,'11240';'Graz/Flughafen';'340';'2021-01-30';'01:00';'-2.2';'°C';'2021-01-30 01:10:13'
74,'11240';'Graz/Flughafen';'340';'2021-01-30';'02:00';'-2.3';'°C';'2021-01-30 02:10:08'
