,0
1900,'11240';'Graz/Flughafen';'340';'2021-04-16';'08:00';'-0.2';'°C';'2021-04-16 08:10:11'
1901,'11240';'Graz/Flughafen';'340';'2021-04-16';'09:00';'3.1';'°C';'2021-04-16 09:10:13'
1902,'11240';'Graz/Flughafen';'340';'2021-04-16';'10:00';'6.3';'°C';'2021-04-16 10:10:09'
1903,'11240';'Graz/Flughafen';'340';'2021-04-16';'11:00';'7.7';'°C';'2021-04-16 11:10:12'
1904,'11240';'Graz/Flughafen';'340';'2021-04-16';'12:00';'8.5';'°C';'2021-04-16 12:10:09'
1905,'11240';'Graz/Flughafen';'340';'2021-04-16';'13:00';'9.2';'°C';'2021-04-16 13:10:17'
1906,'11240';'Graz/Flughafen';'340';'2021-04-16';'14:00';'9.6';'°C';'2021-04-16 14:10:12'
1907,'11240';'Graz/Flughafen';'340';'2021-04-16';'15:00';'10.0';'°C';'2021-04-16 15:10:13'
1908,'11240';'Graz/Flughafen';'340';'2021-04-16';'16:00';'10.4';'°C';'2021-04-16 16:10:09'
1909,'11240';'Graz/Flughafen';'340';'2021-04-16';'17:00';'10.2';'°C';'2021-04-16 17:10:11'
1910,'11240';'Graz/Flughafen';'340';'2021-04-16';'18:00';'10.7';'°C';'2021-04-16 18:10:09'
1911,'11240';'Graz/Flughafen';'340';'2021-04-16';'19:00';'9.2';'°C';'2021-04-16 19:10:09'
1912,'11240';'Graz/Flughafen';'340';'2021-04-16';'20:00';'8.3';'°C';'2021-04-16 20:10:14'
1913,'11240';'Graz/Flughafen';'340';'2021-04-16';'21:00';'7.5';'°C';'2021-04-16 21:10:14'
1914,'11240';'Graz/Flughafen';'340';'2021-04-16';'22:00';'4.9';'°C';'2021-04-16 22:10:10'
1915,'11240';'Graz/Flughafen';'340';'2021-04-16';'23:00';'3.7';'°C';'2021-04-16 23:10:14'
1916,'11240';'Graz/Flughafen';'340';'2021-04-17';'00:00';'3.0';'°C';'2021-04-17 00:10:09'
1917,'11240';'Graz/Flughafen';'340';'2021-04-17';'01:00';'1.7';'°C';'2021-04-17 01:10:10'
1918,'11240';'Graz/Flughafen';'340';'2021-04-17';'02:00';'0.2';'°C';'2021-04-17 02:10:10'
1919,'11240';'Graz/Flughafen';'340';'2021-04-17';'03:00';'0.3';'°C';'2021-04-17 03:10:09'
1920,'11240';'Graz/Flughafen';'340';'2021-04-17';'04:00';'1.0';'°C';'2021-04-17 04:10:13'
1921,'11240';'Graz/Flughafen';'340';'2021-04-17';'05:00';'1.3';'°C';'2021-04-17 05:10:09'
1922,'11240';'Graz/Flughafen';'340';'2021-04-17';'06:00';'1.1';'°C';'2021-04-17 06:10:09'
1923,'11240';'Graz/Flughafen';'340';'2021-04-17';'07:00';'0.8';'°C';'2021-04-17 07:10:09'
1924,'11240';'Graz/Flughafen';'340';'2021-04-17';'08:00';'2.3';'°C';'2021-04-17 08:10:09'
1925,'11240';'Graz/Flughafen';'340';'2021-04-17';'09:00';'3.9';'°C';'2021-04-17 09:10:13'
1926,'11240';'Graz/Flughafen';'340';'2021-04-17';'10:00';'5.6';'°C';'2021-04-17 10:10:09'
1927,'11240';'Graz/Flughafen';'340';'2021-04-17';'11:00';'7.0';'°C';'2021-04-17 11:10:09'
1928,'11240';'Graz/Flughafen';'340';'2021-04-17';'12:00';'8.4';'°C';'2021-04-17 12:10:09'
1929,'11240';'Graz/Flughafen';'340';'2021-04-17';'13:00';'9.7';'°C';'2021-04-17 13:10:15'
1930,'11240';'Graz/Flughafen';'340';'2021-04-17';'14:00';'11.4';'°C';'2021-04-17 14:10:08'
1931,'11240';'Graz/Flughafen';'340';'2021-04-17';'15:00';'10.5';'°C';'2021-04-17 15:10:11'
1932,'11240';'Graz/Flughafen';'340';'2021-04-17';'16:00';'11.1';'°C';'2021-04-17 16:10:12'
1933,'11240';'Graz/Flughafen';'340';'2021-04-17';'17:00';'10.6';'°C';'2021-04-17 17:10:12'
1934,'11240';'Graz/Flughafen';'340';'2021-04-17';'18:00';'10.4';'°C';'2021-04-17 18:10:11'
1935,'11240';'Graz/Flughafen';'340';'2021-04-17';'19:00';'9.4';'°C';'2021-04-17 19:10:11'
1936,'11240';'Graz/Flughafen';'340';'2021-04-17';'20:00';'8.5';'°C';'2021-04-17 20:10:09'
1937,'11240';'Graz/Flughafen';'340';'2021-04-17';'21:00';'7.8';'°C';'2021-04-17 21:10:09'
1938,'11240';'Graz/Flughafen';'340';'2021-04-17';'22:00';'6.4';'°C';'2021-04-17 22:10:12'
1939,'11240';'Graz/Flughafen';'340';'2021-04-17';'23:00';'4.5';'°C';'2021-04-17 23:10:13'
1940,'11240';'Graz/Flughafen';'340';'2021-04-18';'00:00';'5.0';'°C';'2021-04-18 00:10:08'
1941,'11240';'Graz/Flughafen';'340';'2021-04-18';'01:00';'5.5';'°C';'2021-04-18 01:10:09'
1942,'11240';'Graz/Flughafen';'340';'2021-04-18';'02:00';'5.5';'°C';'2021-04-18 02:10:12'
1943,'11240';'Graz/Flughafen';'340';'2021-04-18';'03:00';'5.3';'°C';'2021-04-18 03:10:10'
1944,'11240';'Graz/Flughafen';'340';'2021-04-18';'04:00';'5.3';'°C';'2021-04-18 04:10:10'
1945,'11240';'Graz/Flughafen';'340';'2021-04-18';'05:00';'5.2';'°C';'2021-04-18 05:10:10'
1946,'11240';'Graz/Flughafen';'340';'2021-04-18';'06:00';'5.1';'°C';'2021-04-18 06:10:21'
1947,'11240';'Graz/Flughafen';'340';'2021-04-18';'07:00';'4.5';'°C';'2021-04-18 07:10:14'
1948,'11240';'Graz/Flughafen';'340';'2021-04-18';'08:00';'5.1';'°C';'2021-04-18 08:10:10'
1949,'11240';'Graz/Flughafen';'340';'2021-04-18';'09:00';'5.9';'°C';'2021-04-18 09:10:12'
1950,'11240';'Graz/Flughafen';'340';'2021-04-18';'10:00';'7.2';'°C';'2021-04-18 10:10:12'
1951,'11240';'Graz/Flughafen';'340';'2021-04-18';'11:00';'8.2';'°C';'2021-04-18 11:10:11'
1952,'11240';'Graz/Flughafen';'340';'2021-04-18';'12:00';'8.9';'°C';'2021-04-18 12:10:12'
1953,'11240';'Graz/Flughafen';'340';'2021-04-18';'13:00';'9.7';'°C';'2021-04-18 13:10:09'
1954,'11240';'Graz/Flughafen';'340';'2021-04-18';'14:00';'9.8';'°C';'2021-04-18 14:10:09'
1955,'11240';'Graz/Flughafen';'340';'2021-04-18';'15:00';'10.0';'°C';'2021-04-18 15:10:23'
1956,'11240';'Graz/Flughafen';'340';'2021-04-18';'16:00';'9.8';'°C';'2021-04-18 16:10:11'
1957,'11240';'Graz/Flughafen';'340';'2021-04-18';'17:00';'9.6';'°C';'2021-04-18 17:10:11'
1958,'11240';'Graz/Flughafen';'340';'2021-04-18';'18:00';'9.2';'°C';'2021-04-18 18:10:09'
1959,'11240';'Graz/Flughafen';'340';'2021-04-18';'19:00';'8.3';'°C';'2021-04-18 19:10:10'
1960,'11240';'Graz/Flughafen';'340';'2021-04-18';'20:00';'7.3';'°C';'2021-04-18 20:10:11'
1961,'11240';'Graz/Flughafen';'340';'2021-04-18';'21:00';'6.9';'°C';'2021-04-18 21:10:10'
1962,'11240';'Graz/Flughafen';'340';'2021-04-18';'22:00';'6.4';'°C';'2021-04-18 22:10:12'
1963,'11240';'Graz/Flughafen';'340';'2021-04-18';'23:00';'6.2';'°C';'2021-04-18 23:10:09'
1964,'11240';'Graz/Flughafen';'340';'2021-04-19';'00:00';'6.0';'°C';'2021-04-19 00:10:10'
1965,'11240';'Graz/Flughafen';'340';'2021-04-19';'01:00';'5.5';'°C';'2021-04-19 01:10:12'
1966,'11240';'Graz/Flughafen';'340';'2021-04-19';'02:00';'5.0';'°C';'2021-04-19 02:10:11'
1967,'11240';'Graz/Flughafen';'340';'2021-04-19';'03:00';'3.9';'°C';'2021-04-19 03:10:11'
1968,'11240';'Graz/Flughafen';'340';'2021-04-19';'04:00';'4.7';'°C';'2021-04-19 04:10:11'
1969,'11240';'Graz/Flughafen';'340';'2021-04-19';'05:00';'4.8';'°C';'2021-04-19 05:10:09'
1970,'11240';'Graz/Flughafen';'340';'2021-04-19';'06:00';'4.5';'°C';'2021-04-19 06:10:10'
1971,'11240';'Graz/Flughafen';'340';'2021-04-19';'07:00';'5.0';'°C';'2021-04-19 07:10:11'
1972,'11240';'Graz/Flughafen';'340';'2021-04-19';'08:00';'5.7';'°C';'2021-04-19 08:10:09'
1973,'11240';'Graz/Flughafen';'340';'2021-04-19';'09:00';'7.2';'°C';'2021-04-19 09:10:09'
1974,'11240';'Graz/Flughafen';'340';'2021-04-19';'10:00';'9.0';'°C';'2021-04-19 10:10:15'
1975,'11240';'Graz/Flughafen';'340';'2021-04-19';'11:00';'8.2';'°C';'2021-04-19 11:10:11'
1976,'11240';'Graz/Flughafen';'340';'2021-04-19';'12:00';'9.3';'°C';'2021-04-19 12:10:13'
1977,'11240';'Graz/Flughafen';'340';'2021-04-19';'13:00';'9.5';'°C';'2021-04-19 13:10:09'
1978,'11240';'Graz/Flughafen';'340';'2021-04-19';'14:00';'9.4';'°C';'2021-04-19 14:10:09'
1979,'11240';'Graz/Flughafen';'340';'2021-04-19';'15:00';'9.8';'°C';'2021-04-19 15:10:11'
1980,'11240';'Graz/Flughafen';'340';'2021-04-19';'16:00';'10.0';'°C';'2021-04-19 16:10:09'
1981,'11240';'Graz/Flughafen';'340';'2021-04-19';'17:00';'8.9';'°C';'2021-04-19 17:10:09'
1982,'11240';'Graz/Flughafen';'340';'2021-04-19';'18:00';'9.7';'°C';'2021-04-19 18:10:09'
1983,'11240';'Graz/Flughafen';'340';'2021-04-19';'19:00';'8.6';'°C';'2021-04-19 19:10:14'
1984,'11240';'Graz/Flughafen';'340';'2021-04-19';'20:00';'8.4';'°C';'2021-04-19 20:10:23'
1985,'11240';'Graz/Flughafen';'340';'2021-04-19';'21:00';'7.4';'°C';'2021-04-19 21:10:13'
1986,'11240';'Graz/Flughafen';'340';'2021-04-19';'22:00';'6.9';'°C';'2021-04-19 22:10:11'
1987,'11240';'Graz/Flughafen';'340';'2021-04-19';'23:00';'6.4';'°C';'2021-04-19 23:10:08'
1988,'11240';'Graz/Flughafen';'340';'2021-04-20';'00:00';'6.7';'°C';'2021-04-20 00:10:09'
1989,'11240';'Graz/Flughafen';'340';'2021-04-20';'01:00';'6.1';'°C';'2021-04-20 01:10:09'
1990,'11240';'Graz/Flughafen';'340';'2021-04-20';'02:00';'5.6';'°C';'2021-04-20 02:10:10'
1991,'11240';'Graz/Flughafen';'340';'2021-04-20';'03:00';'5.4';'°C';'2021-04-20 03:10:11'
1992,'11240';'Graz/Flughafen';'340';'2021-04-20';'04:00';'5.2';'°C';'2021-04-20 04:10:09'
1993,'11240';'Graz/Flughafen';'340';'2021-04-20';'05:00';'4.9';'°C';'2021-04-20 05:10:20'
1994,'11240';'Graz/Flughafen';'340';'2021-04-20';'06:00';'3.8';'°C';'2021-04-20 06:10:09'
1995,'11240';'Graz/Flughafen';'340';'2021-04-20';'07:00';'4.3';'°C';'2021-04-20 07:10:13'
1996,'11240';'Graz/Flughafen';'340';'2021-04-20';'08:00';'5.5';'°C';'2021-04-20 08:10:08'
1997,'11240';'Graz/Flughafen';'340';'2021-04-20';'09:00';'6.3';'°C';'2021-04-20 09:10:11'
1998,'11240';'Graz/Flughafen';'340';'2021-04-20';'10:00';'7.9';'°C';'2021-04-20 10:10:13'
1999,'11240';'Graz/Flughafen';'340';'2021-04-20';'11:00';'9.9';'°C';'2021-04-20 11:10:13'
2000,'11240';'Graz/Flughafen';'340';'2021-04-20';'12:00';'10.2';'°C';'2021-04-20 12:10:10'
2001,'11240';'Graz/Flughafen';'340';'2021-04-20';'13:00';'11.6';'°C';'2021-04-20 13:10:13'
2002,'11240';'Graz/Flughafen';'340';'2021-04-20';'14:00';'13.3';'°C';'2021-04-20 14:10:09'
2003,'11240';'Graz/Flughafen';'340';'2021-04-20';'15:00';'15.2';'°C';'2021-04-20 15:10:09'
2004,'11240';'Graz/Flughafen';'340';'2021-04-20';'16:00';'12.7';'°C';'2021-04-20 16:10:10'
2005,'11240';'Graz/Flughafen';'340';'2021-04-20';'17:00';'12.8';'°C';'2021-04-20 17:10:09'
2006,'11240';'Graz/Flughafen';'340';'2021-04-20';'18:00';'12.9';'°C';'2021-04-20 18:10:09'
2007,'11240';'Graz/Flughafen';'340';'2021-04-20';'19:00';'11.8';'°C';'2021-04-20 19:10:18'
2008,'11240';'Graz/Flughafen';'340';'2021-04-20';'20:00';'9.5';'°C';'2021-04-20 20:10:12'
2009,'11240';'Graz/Flughafen';'340';'2021-04-20';'21:00';'8.4';'°C';'2021-04-20 21:10:16'
2010,'11240';'Graz/Flughafen';'340';'2021-04-20';'22:00';'6.7';'°C';'2021-04-20 22:10:09'
2011,'11240';'Graz/Flughafen';'340';'2021-04-20';'23:00';'6.4';'°C';'2021-04-20 23:10:12'
2012,'11240';'Graz/Flughafen';'340';'2021-04-21';'00:00';'4.0';'°C';'2021-04-21 00:10:15'
2013,'11240';'Graz/Flughafen';'340';'2021-04-21';'01:00';'3.7';'°C';'2021-04-21 01:10:10'
2014,'11240';'Graz/Flughafen';'340';'2021-04-21';'02:00';'2.1';'°C';'2021-04-21 02:10:14'
2015,'11240';'Graz/Flughafen';'340';'2021-04-21';'03:00';'0.8';'°C';'2021-04-21 03:10:11'
2016,'11240';'Graz/Flughafen';'340';'2021-04-21';'04:00';'0.7';'°C';'2021-04-21 04:10:14'
2017,'11240';'Graz/Flughafen';'340';'2021-04-21';'05:00';'1.5';'°C';'2021-04-21 05:10:16'
2018,'11240';'Graz/Flughafen';'340';'2021-04-21';'06:00';'-0.3';'°C';'2021-04-21 06:10:10'
2019,'11240';'Graz/Flughafen';'340';'2021-04-21';'07:00';'0.7';'°C';'2021-04-21 07:10:08'
2020,'11240';'Graz/Flughafen';'340';'2021-04-21';'08:00';'4.7';'°C';'2021-04-21 08:10:08'
2021,'11240';'Graz/Flughafen';'340';'2021-04-21';'09:00';'7.8';'°C';'2021-04-21 09:10:14'
2022,'11240';'Graz/Flughafen';'340';'2021-04-21';'10:00';'11.5';'°C';'2021-04-21 10:10:09'
2023,'11240';'Graz/Flughafen';'340';'2021-04-21';'11:00';'13.8';'°C';'2021-04-21 11:10:12'
2024,'11240';'Graz/Flughafen';'340';'2021-04-21';'12:00';'15.4';'°C';'2021-04-21 12:10:12'
2025,'11240';'Graz/Flughafen';'340';'2021-04-21';'13:00';'16.4';'°C';'2021-04-21 13:10:15'
2026,'11240';'Graz/Flughafen';'340';'2021-04-21';'14:00';'16.4';'°C';'2021-04-21 14:10:10'
2027,'11240';'Graz/Flughafen';'340';'2021-04-21';'15:00';'17.1';'°C';'2021-04-21 15:10:10'
2028,'11240';'Graz/Flughafen';'340';'2021-04-21';'16:00';'16.8';'°C';'2021-04-21 16:10:12'
2029,'11240';'Graz/Flughafen';'340';'2021-04-21';'17:00';'16.6';'°C';'2021-04-21 17:10:10'
2030,'11240';'Graz/Flughafen';'340';'2021-04-21';'18:00';'15.5';'°C';'2021-04-21 18:10:09'
2031,'11240';'Graz/Flughafen';'340';'2021-04-21';'19:00';'15.2';'°C';'2021-04-21 19:10:10'
2032,'11240';'Graz/Flughafen';'340';'2021-04-21';'20:00';'12.7';'°C';'2021-04-21 20:10:10'
2033,'11240';'Graz/Flughafen';'340';'2021-04-21';'21:00';'9.9';'°C';'2021-04-21 21:10:11'
2034,'11240';'Graz/Flughafen';'340';'2021-04-21';'22:00';'9.7';'°C';'2021-04-21 22:10:10'
2035,'11240';'Graz/Flughafen';'340';'2021-04-21';'23:00';'8.4';'°C';'2021-04-21 23:10:14'
2036,'11240';'Graz/Flughafen';'340';'2021-04-22';'00:00';'6.6';'°C';'2021-04-22 00:10:12'
2037,'11240';'Graz/Flughafen';'340';'2021-04-22';'01:00';'5.1';'°C';'2021-04-22 01:10:09'
2038,'11240';'Graz/Flughafen';'340';'2021-04-22';'02:00';'4.7';'°C';'2021-04-22 02:10:11'
2039,'11240';'Graz/Flughafen';'340';'2021-04-22';'03:00';'3.9';'°C';'2021-04-22 03:10:11'
2040,'11240';'Graz/Flughafen';'340';'2021-04-22';'04:00';'3.4';'°C';'2021-04-22 04:10:08'
2041,'11240';'Graz/Flughafen';'340';'2021-04-22';'05:00';'2.2';'°C';'2021-04-22 05:10:12'
2042,'11240';'Graz/Flughafen';'340';'2021-04-22';'06:00';'1.8';'°C';'2021-04-22 06:10:22'
2043,'11240';'Graz/Flughafen';'340';'2021-04-22';'07:00';'3.6';'°C';'2021-04-22 07:10:09'
2044,'11240';'Graz/Flughafen';'340';'2021-04-22';'08:00';'7.5';'°C';'2021-04-22 08:10:09'
2045,'11240';'Graz/Flughafen';'340';'2021-04-22';'09:00';'11.6';'°C';'2021-04-22 09:10:11'
2046,'11240';'Graz/Flughafen';'340';'2021-04-22';'10:00';'14.2';'°C';'2021-04-22 10:10:13'
2047,'11240';'Graz/Flughafen';'340';'2021-04-22';'11:00';'16.0';'°C';'2021-04-22 11:10:09'
2048,'11240';'Graz/Flughafen';'340';'2021-04-22';'12:00';'16.3';'°C';'2021-04-22 12:10:12'
2049,'11240';'Graz/Flughafen';'340';'2021-04-22';'13:00';'12.7';'°C';'2021-04-22 13:10:09'
2050,'11240';'Graz/Flughafen';'340';'2021-04-22';'14:00';'16.4';'°C';'2021-04-22 14:10:09'
2051,'11240';'Graz/Flughafen';'340';'2021-04-22';'15:00';'18.0';'°C';'2021-04-22 15:10:12'
2052,'11240';'Graz/Flughafen';'340';'2021-04-22';'16:00';'13.3';'°C';'2021-04-22 16:10:09'
2053,'11240';'Graz/Flughafen';'340';'2021-04-22';'17:00';'14.8';'°C';'2021-04-22 17:10:13'
2054,'11240';'Graz/Flughafen';'340';'2021-04-22';'18:00';'12.9';'°C';'2021-04-22 18:10:19'
2055,'11240';'Graz/Flughafen';'340';'2021-04-22';'19:00';'11.3';'°C';'2021-04-22 19:10:09'
2056,'11240';'Graz/Flughafen';'340';'2021-04-22';'20:00';'9.8';'°C';'2021-04-22 20:10:09'
2057,'11240';'Graz/Flughafen';'340';'2021-04-22';'21:00';'8.6';'°C';'2021-04-22 21:10:13'
2058,'11240';'Graz/Flughafen';'340';'2021-04-22';'22:00';'7.5';'°C';'2021-04-22 22:10:12'
2059,'11240';'Graz/Flughafen';'340';'2021-04-22';'23:00';'6.8';'°C';'2021-04-22 23:10:09'
2060,'11240';'Graz/Flughafen';'340';'2021-04-23';'00:00';'6.2';'°C';'2021-04-23 00:10:09'
2061,'11240';'Graz/Flughafen';'340';'2021-04-23';'01:00';'6.0';'°C';'2021-04-23 01:10:21'
2062,'11240';'Graz/Flughafen';'340';'2021-04-23';'02:00';'5.0';'°C';'2021-04-23 02:10:10'
2063,'11240';'Graz/Flughafen';'340';'2021-04-23';'03:00';'6.2';'°C';'2021-04-23 03:10:08'
2064,'11240';'Graz/Flughafen';'340';'2021-04-23';'04:00';'4.6';'°C';'2021-04-23 04:10:16'
2065,'11240';'Graz/Flughafen';'340';'2021-04-23';'05:00';'2.9';'°C';'2021-04-23 05:10:16'
2066,'11240';'Graz/Flughafen';'340';'2021-04-23';'06:00';'3.1';'°C';'2021-04-23 06:10:11'
2067,'11240';'Graz/Flughafen';'340';'2021-04-23';'07:00';'3.7';'°C';'2021-04-23 07:10:09'
2068,'11240';'Graz/Flughafen';'340';'2021-04-23';'08:00';'6.8';'°C';'2021-04-23 08:10:13'
2069,'11240';'Graz/Flughafen';'340';'2021-04-23';'09:00';'8.4';'°C';'2021-04-23 09:10:14'
2070,'11240';'Graz/Flughafen';'340';'2021-04-23';'10:00';'9.9';'°C';'2021-04-23 10:10:24'
2071,'11240';'Graz/Flughafen';'340';'2021-04-23';'11:00';'11.1';'°C';'2021-04-23 11:10:13'
2072,'11240';'Graz/Flughafen';'340';'2021-04-23';'12:00';'12.7';'°C';'2021-04-23 12:10:10'
2073,'11240';'Graz/Flughafen';'340';'2021-04-23';'13:00';'14.0';'°C';'2021-04-23 13:10:12'
2074,'11240';'Graz/Flughafen';'340';'2021-04-23';'14:00';'15.5';'°C';'2021-04-23 14:10:09'
2075,'11240';'Graz/Flughafen';'340';'2021-04-23';'15:00';'16.0';'°C';'2021-04-23 15:10:09'
2076,'11240';'Graz/Flughafen';'340';'2021-04-23';'16:00';'16.5';'°C';'2021-04-23 16:10:19'
2077,'11240';'Graz/Flughafen';'340';'2021-04-23';'17:00';'17.3';'°C';'2021-04-23 17:10:11'
2078,'11240';'Graz/Flughafen';'340';'2021-04-23';'18:00';'15.3';'°C';'2021-04-23 18:10:13'
2079,'11240';'Graz/Flughafen';'340';'2021-04-23';'19:00';'14.9';'°C';'2021-04-23 19:10:09'
2080,'11240';'Graz/Flughafen';'340';'2021-04-23';'20:00';'12.7';'°C';'2021-04-23 20:10:09'
2081,'11240';'Graz/Flughafen';'340';'2021-04-23';'21:00';'10.8';'°C';'2021-04-23 21:10:12'
2082,'11240';'Graz/Flughafen';'340';'2021-04-23';'22:00';'9.6';'°C';'2021-04-23 22:10:20'
2083,'11240';'Graz/Flughafen';'340';'2021-04-23';'23:00';'8.0';'°C';'2021-04-23 23:10:12'
2084,'11240';'Graz/Flughafen';'340';'2021-04-24';'00:00';'6.3';'°C';'2021-04-24 00:10:09'
2085,'11240';'Graz/Flughafen';'340';'2021-04-24';'01:00';'4.9';'°C';'2021-04-24 01:10:09'
2086,'11240';'Graz/Flughafen';'340';'2021-04-24';'02:00';'4.1';'°C';'2021-04-24 02:10:17'
2087,'11240';'Graz/Flughafen';'340';'2021-04-24';'03:00';'3.5';'°C';'2021-04-24 03:10:09'
2088,'11240';'Graz/Flughafen';'340';'2021-04-24';'04:00';'3.6';'°C';'2021-04-24 04:10:15'
2089,'11240';'Graz/Flughafen';'340';'2021-04-24';'05:00';'2.7';'°C';'2021-04-24 05:10:09'
2090,'11240';'Graz/Flughafen';'340';'2021-04-24';'06:00';'0.8';'°C';'2021-04-24 06:10:10'
2091,'11240';'Graz/Flughafen';'340';'2021-04-24';'07:00';'2.6';'°C';'2021-04-24 07:10:09'
2092,'11240';'Graz/Flughafen';'340';'2021-04-24';'08:00';'6.6';'°C';'2021-04-24 08:10:09'
2093,'11240';'Graz/Flughafen';'340';'2021-04-24';'09:00';'8.8';'°C';'2021-04-24 09:10:11'
2094,'11240';'Graz/Flughafen';'340';'2021-04-24';'10:00';'9.8';'°C';'2021-04-24 10:10:09'
2095,'11240';'Graz/Flughafen';'340';'2021-04-24';'11:00';'10.9';'°C';'2021-04-24 11:10:10'
2096,'11240';'Graz/Flughafen';'340';'2021-04-24';'12:00';'12.6';'°C';'2021-04-24 12:10:09'
2097,'11240';'Graz/Flughafen';'340';'2021-04-24';'13:00';'14.2';'°C';'2021-04-24 13:10:15'
2098,'11240';'Graz/Flughafen';'340';'2021-04-24';'14:00';'15.6';'°C';'2021-04-24 14:10:09'
2099,'11240';'Graz/Flughafen';'340';'2021-04-24';'15:00';'16.3';'°C';'2021-04-24 15:10:09'
2100,'11240';'Graz/Flughafen';'340';'2021-04-24';'16:00';'17.0';'°C';'2021-04-24 16:10:12'
2101,'11240';'Graz/Flughafen';'340';'2021-04-24';'17:00';'17.6';'°C';'2021-04-24 17:10:11'
2102,'11240';'Graz/Flughafen';'340';'2021-04-24';'18:00';'17.3';'°C';'2021-04-24 18:10:09'
2103,'11240';'Graz/Flughafen';'340';'2021-04-24';'19:00';'16.2';'°C';'2021-04-24 19:10:11'
2104,'11240';'Graz/Flughafen';'340';'2021-04-24';'20:00';'14.3';'°C';'2021-04-24 20:10:13'
2105,'11240';'Graz/Flughafen';'340';'2021-04-24';'21:00';'12.8';'°C';'2021-04-24 21:10:09'
2106,'11240';'Graz/Flughafen';'340';'2021-04-24';'22:00';'11.5';'°C';'2021-04-24 22:10:13'
2107,'11240';'Graz/Flughafen';'340';'2021-04-24';'23:00';'10.2';'°C';'2021-04-24 23:10:10'
2108,'11240';'Graz/Flughafen';'340';'2021-04-25';'00:00';'7.6';'°C';'2021-04-25 00:10:10'
2109,'11240';'Graz/Flughafen';'340';'2021-04-25';'01:00';'7.9';'°C';'2021-04-25 01:10:13'
2110,'11240';'Graz/Flughafen';'340';'2021-04-25';'02:00';'5.1';'°C';'2021-04-25 02:10:12'
2111,'11240';'Graz/Flughafen';'340';'2021-04-25';'03:00';'4.4';'°C';'2021-04-25 03:10:09'
2112,'11240';'Graz/Flughafen';'340';'2021-04-25';'04:00';'4.1';'°C';'2021-04-25 04:10:10'
2113,'11240';'Graz/Flughafen';'340';'2021-04-25';'05:00';'3.8';'°C';'2021-04-25 05:10:10'
2114,'11240';'Graz/Flughafen';'340';'2021-04-25';'06:00';'2.9';'°C';'2021-04-25 06:10:12'
2115,'11240';'Graz/Flughafen';'340';'2021-04-25';'07:00';'2.7';'°C';'2021-04-25 07:10:11'
2116,'11240';'Graz/Flughafen';'340';'2021-04-25';'08:00';'7.3';'°C';'2021-04-25 08:10:12'
2117,'11240';'Graz/Flughafen';'340';'2021-04-25';'09:00';'10.2';'°C';'2021-04-25 09:10:12'
2118,'11240';'Graz/Flughafen';'340';'2021-04-25';'10:00';'12.8';'°C';'2021-04-25 10:10:10'
2119,'11240';'Graz/Flughafen';'340';'2021-04-25';'11:00';'14.3';'°C';'2021-04-25 11:10:11'
2120,'11240';'Graz/Flughafen';'340';'2021-04-25';'12:00';'16.6';'°C';'2021-04-25 12:10:12'
2121,'11240';'Graz/Flughafen';'340';'2021-04-25';'13:00';'18.1';'°C';'2021-04-25 13:10:12'
2122,'11240';'Graz/Flughafen';'340';'2021-04-25';'14:00';'19.3';'°C';'2021-04-25 14:10:12'
2123,'11240';'Graz/Flughafen';'340';'2021-04-25';'15:00';'19.0';'°C';'2021-04-25 15:10:08'
2124,'11240';'Graz/Flughafen';'340';'2021-04-25';'16:00';'15.7';'°C';'2021-04-25 16:10:09'
2125,'11240';'Graz/Flughafen';'340';'2021-04-25';'17:00';'16.0';'°C';'2021-04-25 17:10:17'
2126,'11240';'Graz/Flughafen';'340';'2021-04-25';'18:00';'16.1';'°C';'2021-04-25 18:10:18'
2127,'11240';'Graz/Flughafen';'340';'2021-04-25';'19:00';'15.4';'°C';'2021-04-25 19:10:10'
2128,'11240';'Graz/Flughafen';'340';'2021-04-25';'20:00';'13.3';'°C';'2021-04-25 20:10:14'
2129,'11240';'Graz/Flughafen';'340';'2021-04-25';'21:00';'12.4';'°C';'2021-04-25 21:10:14'
2130,'11240';'Graz/Flughafen';'340';'2021-04-25';'22:00';'11.3';'°C';'2021-04-25 22:10:09'
2131,'11240';'Graz/Flughafen';'340';'2021-04-25';'23:00';'10.1';'°C';'2021-04-25 23:10:13'
2132,'11240';'Graz/Flughafen';'340';'2021-04-26';'00:00';'7.7';'°C';'2021-04-26 00:10:09'
2133,'11240';'Graz/Flughafen';'340';'2021-04-26';'01:00';'6.5';'°C';'2021-04-26 01:10:09'
2134,'11240';'Graz/Flughafen';'340';'2021-04-26';'02:00';'6.1';'°C';'2021-04-26 02:10:09'
2135,'11240';'Graz/Flughafen';'340';'2021-04-26';'03:00';'4.4';'°C';'2021-04-26 03:10:11'
2136,'11240';'Graz/Flughafen';'340';'2021-04-26';'04:00';'3.5';'°C';'2021-04-26 04:10:10'
2137,'11240';'Graz/Flughafen';'340';'2021-04-26';'05:00';'2.2';'°C';'2021-04-26 05:10:09'
2138,'11240';'Graz/Flughafen';'340';'2021-04-26';'06:00';'4.4';'°C';'2021-04-26 06:10:12'
2139,'11240';'Graz/Flughafen';'340';'2021-04-26';'07:00';'5.4';'°C';'2021-04-26 07:10:16'
2140,'11240';'Graz/Flughafen';'340';'2021-04-26';'08:00';'5.7';'°C';'2021-04-26 08:10:12'
